gene	inheritance	severe
GNPTG	AR	no
GNRH1	AR	yes
GNRHR	AR	yes
GNS	AR	no
GOLGA2	AR	no
GON7	AR	no
GORAB	AR	no
GOSR2	AR	no
GOT2	AR	yes
GP1BA	AR	yes
GP1BB	AR	yes
GP6	AR	yes
GP9	AR	yes
GPAA1	AR	no
GPC3	XL	yes
GPC4	XL	yes
GPC6	AR	yes
GPD1	AR	yes
GPHN	AR	no
GPIHBP1	AR	yes
GPNMB	AR	no
GPR101	XL	yes
GPR143	XL	no
GPR156	AR	yes
GPR179	AR	no
GPR68	AR	no
GPR88	AR	no
GPRASP2	XL	yes
GPSM2	AR	yes
GPT2	AR	no
GPX4	AR	yes
GRAP	AR	yes
GRHL2	AR	yes
GRHPR	AR	yes
GRIA1	AR	no
GRIA3	XL	no
GRID2	AR	no
GRIK2	AR	no
GRIN1	AR	no
GRIP1	AR	no
GRK1	AR	no
GRM1	AR	no
GRM6	AR	no
GRM7	AR	yes
GRN	AR	no
GRXCR1	AR	yes
GRXCR2	AR	yes
GSC	AR	yes
GSR	AR	yes
GSS	AR	yes
GSTZ1	AR	no
GTF2E2	AR	no
GTF2H5	AR	no
GTPBP1	AR	no
GTPBP2	AR	no
GTPBP3	AR	yes
GUCY1A1	AR	yes
GUCY2C	AR	yes
GUCY2D	AR	no
GUF1	AR	no
GUK1	AR	yes
GUSB	AR	yes
GYG1	AR	yes
GYS1	AR	yes
GYS2	AR	yes
GZF1	AR	no
H6PD	AR	no
HAAO	AR	yes
HACD1	AR	no
HACE1	AR	no
HADH	AR	yes
HADHA	AR	yes
HADHB	AR	yes
HAL	AR	no
HAMP	AR	yes
HARS1	AR	yes
HARS2	AR	yes
HAVCR2	AR	yes
HAX1	AR	yes
HBA1	AR	yes
HBA2	AR	yes
HBB	AR	yes
HCCS	XL	yes
HCFC1	XL	yes
HDAC6	XL	no
HDAC8	XL	no
HEATR3	AR	yes
HECTD4	AR	no
HELLS	AR	yes
HEPACAM	AR	no
HEPHL1	AR	no
HERC1	AR	no
HERC2	AR	no
HES7	AR	no
HESX1	AR	yes
HEXA	AR	no
HEXB	AR	no
HFE	AR	yes
HFM1	AR	yes
HGD	AR	yes
HGF	AR	yes
HGSNAT	AR	no
HHAT	AR	no
HIBCH	AR	yes
HID1	AR	yes
HIKESHI	AR	no
HINT1	AR	no
HJV	AR	yes
HK1	AR	yes
HKDC1	AR	no
HLCS	AR	yes
HMGB3	XL	no
HMGCL	AR	yes
HMGCR	AR	yes
HMGCS2	AR	yes
HMOX1	AR	no
HNMT	AR	no
HNRNPH2	XL	no
HNRNPU	AR	no
HOGA1	AR	yes
HOXA1	AR	yes
HOXA2	AR	yes
HOXB1	AR	yes
HOXC13	AR	no
HOXD13	AR	no
HP	AR	yes
HPCA	AR	no
HPD	AR	yes
HPDL	AR	no
HPGD	AR	yes
HPRT1	XL	yes
HPS1	AR	yes
HPS3	AR	yes
HPS4	AR	yes
HPS5	AR	yes
HPS6	AR	yes
HPSE2	AR	yes
HR	AR	no
HS2ST1	AR	no
HS6ST1	AR	yes
HS6ST2	XL	no
HSCB	AR	yes
HSD11B1	AR	no
HSD11B2	AR	yes
HSD17B10	XL	no
HSD17B3	AR	yes
HSD17B4	AR	yes
HSD3B2	AR	yes
HSD3B7	AR	yes
HSF2BP	AR	yes
HSPD1	AR	no
HSPG2	AR	yes
HTRA1	AR	no
HTRA2	AR	no
HTT	AR	no
HUWE1	XL	no
HYAL1	AR	no
HYAL2	AR	yes
HYDIN	AR	yes
HYLS1	AR	no
HYOU1	AR	yes
IARS1	AR	yes
IARS2	AR	yes
IBA57	AR	no
ICOS	AR	yes
IDH3A	AR	no
IDH3B	AR	no
IDS	XL	yes
IDUA	AR	yes
IER3IP1	AR	yes
IFIH1	AR	yes
IFNAR1	AR	yes
IFNAR2	AR	yes
IFNG	AR	yes
IFNGR1	AR	yes
IFNGR2	AR	yes
IFT122	AR	no
IFT140	AR	no
IFT172	AR	yes
IFT27	AR	yes
IFT43	AR	no
IFT52	AR	no
IFT57	AR	no
IFT74	AR	yes
IFT80	AR	no
IFT81	AR	no
IFT88	AR	no
IGBP1	XL	no
IGF1	AR	yes
IGF1R	AR	yes
IGFALS	AR	yes
IGFBP7	AR	yes
IGHM	AR	yes
IGHMBP2	AR	no
IGKC	AR	no
IGLL1	AR	yes
IGSF1	XL	yes
IGSF3	AR	yes
IHH	AR	no
IKBKB	AR	yes
IKBKG	XL	yes
IL10RA	AR	no
IL10RB	AR	no
IL11RA	AR	no
IL12B	AR	yes
IL12RB1	AR	yes
IL17RA	AR	yes
IL17RC	AR	yes
IL18BP	AR	yes
IL1RAPL1	XL	no
IL1RN	AR	yes
IL21	AR	yes
IL21R	AR	yes
IL2RA	AR	yes
IL2RB	AR	yes
IL2RG	XL	yes
IL36RN	AR	no
IL37	AR	yes
IL6R	AR	yes
IL6ST	AR	yes
IL7	AR	yes
IL7R	AR	yes
ILDR1	AR	yes
IMPA1	AR	no
IMPG1	AR	no
IMPG2	AR	no
INPP5E	AR	no
INPP5K	AR	no
INPPL1	AR	yes
INSR	AR	yes
INTS1	AR	no
INTS11	AR	no
INTU	AR	yes
INVS	AR	no
IPO8	AR	yes
IQCB1	AR	no
IQCE	AR	no
IQCN	AR	no
IQSEC1	AR	no
IQSEC2	XL	no
IRAK4	AR	yes
IREB2	AR	no
IRF1	AR	yes
IRF4	AR	yes
IRF7	AR	yes
IRF9	AR	yes
IRS4	XL	yes
IRX5	AR	no
ISCA1	AR	no
ISCA2	AR	no
ISCU	AR	yes
ISG15	AR	yes
ITCH	AR	yes
ITGA2B	AR	yes
ITGA3	AR	no
ITGA6	AR	no
ITGA7	AR	no
ITGA8	AR	no
ITGB2	AR	yes
ITGB3	AR	yes
ITGB4	AR	no
ITGB6	AR	no
ITK	AR	yes
ITPA	AR	yes
ITPR1	AR	no
ITPR2	AR	yes
IVD	AR	yes
IYD	AR	yes
JAG2	AR	yes
JAGN1	AR	yes
JAK3	AR	yes
JAM2	AR	no
JAM3	AR	no
JPH1	AR	no
JPH2	AR	yes
JUP	AR	no
KANK2	AR	no
KARS1	AR	yes
KASH5	AR	no
KATNB1	AR	no
KATNIP	AR	yes
KCNA4	AR	no
KCNE1	AR	yes
KCNH1	AR	no
KCNJ1	AR	yes
KCNJ10	AR	yes
KCNJ11	AR	yes
KCNJ13	AR	no
KCNJ16	AR	yes
KCNJ3	AR	no
KCNMA1	AR	no
KCNQ1	AR	yes
KCNU1	AR	no
KCNV2	AR	no
KCTD7	AR	no
KDELR2	AR	no
KDM5A	AR	yes
KDM5B	AR	no
KDM5C	XL	no
KDM6A	XL	yes
KDSR	AR	no
KERA	AR	no
KHDC3L	AR	yes
KHK	AR	no
KIAA0586	AR	no
KIAA0753	AR	yes
KIAA0825	AR	no
KIAA1549	AR	no
KIDINS220	AR	no
KIF12	AR	yes
KIF14	AR	no
KIF15	AR	yes
KIF1A	AR	no
KIF1C	AR	no
KIF20A	AR	no
KIF26A	AR	no
KIF3B	AR	yes
KIF4A	XL	no
KIF7	AR	no
KIFBP	AR	no
KIRREL1	AR	yes
KISS1	AR	yes
KISS1R	AR	yes
KITLG	AR	yes
KIZ	AR	no
KL	AR	yes
KLC2	AR	no
KLF1	AR	yes
KLHL15	XL	no
KLHL24	AR	yes
KLHL3	AR	yes
KLHL40	AR	no
KLHL41	AR	no
KLHL7	AR	yes
KLK4	AR	no
KLKB1	AR	no
KNL1	AR	no
KPNA7	AR	no
KPTN	AR	no
KREMEN1	AR	no
KRT10	AR	no
KRT14	AR	no
KRT25	AR	no
KRT5	AR	no
KRT83	AR	no
KRT85	AR	no
KY	AR	no
KYNU	AR	yes
L1CAM	XL	no
L2HGDH	AR	yes
LACC1	AR	yes
LAGE3	XL	no
LAMA1	AR	no
LAMA2	AR	no
LAMA3	AR	no
LAMA5	AR	yes
LAMB1	AR	no
LAMB2	AR	no
LAMB3	AR	yes
LAMC2	AR	no
LAMC3	AR	no
LAMP2	XL	yes
LAMTOR2	AR	yes
LARGE1	AR	no
LARP7	AR	no
LARS1	AR	no
LARS2	AR	yes
LAS1L	XL	no
LAT	AR	yes
LBR	AR	no
LBX1	AR	yes
LCA5	AR	no
LCAT	AR	yes
LCK	AR	yes
LCP2	AR	yes
LCT	AR	yes
LDHA	AR	yes
LDHB	AR	no
LDHD	AR	no
LDLR	AR	yes
LDLRAP1	AR	yes
LEMD2	AR	yes
LEP	AR	yes
LEPR	AR	yes
LETM1	AR	yes
LFNG	AR	no
LGI3	AR	no
LGI4	AR	no
LHB	AR	yes
LHCGR	AR	yes
LHFPL5	AR	yes
LHX3	AR	yes
LIAS	AR	no
LIFR	AR	no
LIG1	AR	yes
LIG3	AR	no
LIG4	AR	yes
LIM2	AR	no
LINGO1	AR	no
LINS1	AR	no
LIPA	AR	yes
LIPC	AR	yes
LIPE	AR	yes
LIPH	AR	no
LIPN	AR	no
LIPT1	AR	no
LIPT2	AR	no
LMAN1	AR	yes
LMAN2L	AR	no
LMBR1	AR	no
LMBRD1	AR	yes
LMF1	AR	yes
LMNA	AR	yes
LMNB2	AR	no
LMOD1	AR	no
LMOD2	AR	yes
LMOD3	AR	no
LNPK	AR	no
LONP1	AR	no
LOXHD1	AR	no
LOXL3	AR	no
LPA	AR	no
LPAR6	AR	no
LPIN1	AR	yes
LPIN2	AR	yes
LPL	AR	yes
LRAT	AR	no
LRBA	AR	yes
LRIG2	AR	yes
LRIT3	AR	no
LRMDA	AR	no
LRP1	AR	no
LRP2	AR	yes
LRP4	AR	no
LRP5	AR	no
LRPAP1	AR	no
LRPPRC	AR	no
LRRC23	AR	no
LRRC32	AR	no
LRRC56	AR	yes
LRRK1	AR	no
LRSAM1	AR	no
LRTOMT	AR	yes
LSS	AR	no
LTBP1	AR	yes
LTBP2	AR	yes
LTBP3	AR	no
LTBP4	AR	no
LTC4S	AR	yes
LTV1	AR	no
LYRM4	AR	no
LYRM7	AR	no
LYST	AR	yes
LZTFL1	AR	yes
LZTR1	AR	yes
M1AP	AR	no
MAB21L1	AR	no
MAB21L2	AR	no
MAD1L1	AR	yes
MAD2L2	AR	yes
MADD	AR	yes
MAG	AR	no
MAGED2	XL	yes
MAGI2	AR	no
MAGT1	XL	yes
MAK	AR	no
MAL	AR	no
MALT1	AR	yes
MAMLD1	XL	no
MAN1B1	AR	no
MAN2B1	AR	yes
MAN2C1	AR	no
MANBA	AR	no
MANF	AR	yes
MAOA	XL	no
MAP3K14	AR	yes
MAP3K20	AR	no
MAPKAPK5	AR	yes
MAPKBP1	AR	no
MAPT	AR	no
MARK3	AR	no
MARS1	AR	yes
MARS2	AR	no
MARVELD2	AR	yes
MASP1	AR	yes
MASP2	AR	yes
MAT1A	AR	yes
MATN3	AR	no
MBD4	AR	yes
MBOAT7	AR	no
MBTPS1	AR	no
MBTPS2	XL	no
MC2R	AR	yes
MCAT	AR	no
MCCC1	AR	yes
MCCC2	AR	yes
MCEE	AR	no
MCFD2	AR	yes
MCIDAS	AR	yes
MCM10	AR	yes
MCM3AP	AR	no
MCM4	AR	yes
MCM5	AR	no
MCM8	AR	yes
MCM9	AR	yes
MCOLN1	AR	no
MCPH1	AR	no
MCTS1	XL	yes
MDFIC	AR	no
MDH1	AR	no
MDH2	AR	no
MDM2	AR	yes
MECP2	XL	yes
MECR	AR	no
MED11	AR	no
MED12	XL	yes
MED13L	AR	yes
MED17	AR	no
MED23	AR	no
MED25	AR	yes
MED27	AR	no
MEFV	AR	yes
MEGF10	AR	no
MEGF8	AR	yes
MEI1	AR	yes
MEIOB	AR	yes
MEOX1	AR	no
MERTK	AR	no
MESD	AR	no
MESP2	AR	no
MET	AR	yes
METTL23	AR	no
METTL5	AR	no
MFF	AR	no
MFN2	AR	no
MFRP	AR	no
MFSD2A	AR	no
MFSD8	AR	yes
MGAT2	AR	yes
MGME1	AR	yes
MGP	AR	yes
MIA3	AR	yes
MICOS13	AR	no
MICU1	AR	no
MID1	XL	yes
MID2	XL	no
MIEF2	AR	yes
MINAR2	AR	yes
MINPP1	AR	no
MIPEP	AR	yes
MKKS	AR	yes
MKS1	AR	yes
MLC1	AR	no
MLH1	AR	yes
MLIP	AR	yes
MLPH	AR	no
MLYCD	AR	yes
MMAA	AR	yes
MMAB	AR	yes
MMACHC	AR	yes
MMADHC	AR	yes
MME	AR	no
MMP13	AR	no
MMP14	AR	no
MMP2	AR	no
MMP20	AR	no
MMP21	AR	yes
MMP9	AR	no
MMUT	AR	yes
MNS1	AR	yes
MOCOS	AR	yes
MOCS1	AR	yes
MOCS2	AR	no
MOGS	AR	yes
MOS	AR	no
MOV10L1	AR	no
MPC1	AR	no
MPDU1	AR	yes
MPDZ	AR	no
MPI	AR	yes
MPIG6B	AR	yes
MPL	AR	yes
MPLKIP	AR	no
MPO	AR	yes
MPV17	AR	yes
MPZL2	AR	yes
MRAP	AR	yes
MRM2	AR	no
MRPL12	AR	no
MRPL3	AR	no
MRPL39	AR	yes
MRPL44	AR	yes
MRPS14	AR	yes
MRPS16	AR	no
MRPS2	AR	no
MRPS22	AR	no
MRPS23	AR	no
MRPS25	AR	yes
MRPS28	AR	no
MRPS34	AR	no
MRPS7	AR	yes
MRTFA	AR	yes
MS4A1	AR	yes
MSH2	AR	yes
MSH4	AR	no
MSH5	AR	yes
MSH6	AR	yes
MSL3	XL	no
MSMO1	AR	yes
MSN	XL	yes
MSRB3	AR	yes
MSTN	AR	no
MSTO1	AR	no
MTFMT	AR	yes
MTHFD1	AR	yes
MTHFR	AR	yes
MTHFS	AR	yes
MTM1	XL	yes
MTMR2	AR	no
MTO1	AR	yes
MTPAP	AR	no
MTR	AR	yes
MTRR	AR	yes
MTTP	AR	yes
MTX2	AR	yes
MUSK	AR	yes
MUTYH	AR	no
MVK	AR	yes
MYBPC1	AR	no
MYBPC3	AR	yes
MYD88	AR	yes
MYF5	AR	no
MYH11	AR	yes
MYH2	AR	no
MYH7	AR	yes
MYL1	AR	no
MYL3	AR	yes
MYL9	AR	yes
MYLK	AR	yes
MYLPF	AR	no
MYMK	AR	no
MYMX	AR	no
MYO15A	AR	yes
MYO18B	AR	no
MYO1E	AR	yes
MYO1H	AR	yes
MYO3A	AR	yes
MYO5A	AR	no
MYO5B	AR	yes
MYO6	AR	yes
MYO7A	AR	yes
MYO9A	AR	yes
MYOC	AR	yes
MYOD1	AR	no
MYORG	AR	no
MYSM1	AR	yes
MYZAP	AR	yes
NAA10	XL	yes
NAA20	AR	yes
NAA60	AR	no
NAA80	AR	yes
NADK2	AR	no
NADSYN1	AR	yes
NAE1	AR	no
NAGA	AR	no
NAGLU	AR	no
NAGS	AR	yes
NALCN	AR	no
NANS	AR	no
NAPB	AR	no
NARS1	AR	no
NARS2	AR	yes
NAT8L	AR	no
NAXD	AR	yes
NAXE	AR	no
NBAS	AR	no
NBEAL2	AR	yes
NBN	AR	yes
NCAPD2	AR	no
NCAPD3	AR	no
NCAPG2	AR	yes
NCAPH	AR	no
NCF1	AR	yes
NCF2	AR	yes
NCF4	AR	yes
NCKAP1L	AR	yes
NDE1	AR	no
NDP	XL	no
NDRG1	AR	no
NDST1	AR	no
NDUFA1	XL	no
NDUFA10	AR	no
NDUFA11	AR	no
NDUFA12	AR	no
NDUFA2	AR	no
NDUFA4	AR	no
NDUFA6	AR	no
NDUFA8	AR	no
NDUFA9	AR	no
NDUFAF1	AR	no
NDUFAF2	AR	no
NDUFAF3	AR	no
NDUFAF4	AR	no
NDUFAF5	AR	no
NDUFAF6	AR	yes
NDUFAF8	AR	no
NDUFB10	AR	no
NDUFB11	XL	yes
NDUFB3	AR	no
NDUFB8	AR	no
NDUFB9	AR	no
NDUFC2	AR	no
NDUFS1	AR	no
NDUFS2	AR	no
NDUFS3	AR	no
NDUFS4	AR	no
NDUFS6	AR	no
NDUFS7	AR	no
NDUFS8	AR	no
NDUFV1	AR	no
NDUFV2	AR	no
NEB	AR	no
NECAP1	AR	no
NECTIN1	AR	no
NECTIN4	AR	no
NEFL	AR	no
NEK1	AR	no
NEK10	AR	yes
NEK2	AR	no
NEK8	AR	yes
NEK9	AR	no
NEMF	AR	no
NEPRO	AR	no
NEU1	AR	no
NEUROG1	AR	yes
NEUROG3	AR	yes
NEXMIF	XL	no
NFASC	AR	no
NFATC2	AR	yes
NFS1	AR	yes
NFU1	AR	no
NGF	AR	no
NGLY1	AR	yes
NHEJ1	AR	yes
NHLH2	AR	yes
NHLRC1	AR	no
NHLRC2	AR	no
NHP2	AR	yes
NHS	XL	no
NIN	AR	no
NIPAL4	AR	no
NKAP	XL	yes
NKX2-6	AR	yes
NKX3-2	AR	no
NKX6-2	AR	no
NLGN1	AR	no
NLGN3	XL	no
NLGN4X	XL	no
NLRP1	AR	yes
NLRP2	AR	yes
NLRP5	AR	no
NLRP7	AR	yes
NME5	AR	yes
NME8	AR	yes
NMNAT1	AR	yes
NNT	AR	yes
NOD2	AR	yes
NONO	XL	no
NOP10	AR	yes
NOS1AP	AR	no
NPC1	AR	no
NPC1L1	AR	yes
NPC2	AR	no
NPHP1	AR	no
NPHP3	AR	no
NPHP4	AR	no
NPHS1	AR	no
NPHS2	AR	no
NPPA	AR	no
NPR2	AR	no
NR0B1	XL	yes
NR1H4	AR	yes
NR2E3	AR	no
NR3C1	AR	yes
NR5A1	AR	yes
NRCAM	AR	no
NRL	AR	no
NRROS	AR	no
NRXN1	AR	no
NSDHL	XL	no
NSMCE2	AR	yes
NSMCE3	AR	yes
NSRP1	AR	no
NSUN2	AR	no
NSUN3	AR	no
NSUN6	AR	no
NT5C2	AR	no
NT5C3A	AR	yes
NT5E	AR	no
NTHL1	AR	no
NTNG2	AR	no
NTRK1	AR	yes
NUAK2	AR	no
NUBPL	AR	no
NUDT2	AR	no
NUP107	AR	no
NUP133	AR	no
NUP155	AR	yes
NUP160	AR	no
NUP188	AR	yes
NUP205	AR	no
NUP210L	AR	no
NUP214	AR	no
NUP37	AR	no
NUP54	AR	no
NUP62	AR	no
NUP85	AR	no
NUP88	AR	no
NUP93	AR	no
NUS1	AR	no
NXF5	XL	yes
NXN	AR	yes
NYX	XL	no
OAT	AR	yes
OBSCN	AR	yes
OBSL1	AR	no
OCA2	AR	no
OCLN	AR	no
OCRL	XL	yes
ODAD1	AR	yes
ODAD2	AR	yes
ODAD3	AR	yes
ODAD4	AR	yes
ODAPH	AR	no
OFD1	XL	no
OGDH	AR	no
OGDHL	AR	yes
OGT	XL	no
OPA3	AR	no
OPHN1	XL	no
OPLAH	AR	no
OPN1LW	XL	no
OPN1MW	XL	no
ORAI1	AR	yes
ORC1	AR	no
ORC4	AR	no
ORC6	AR	no
OSGEP	AR	no
OSTM1	AR	no
OTC	XL	yes
OTOA	AR	yes
OTOF	AR	yes
OTOG	AR	yes
OTOGL	AR	yes
OTUD5	XL	yes
OTUD6B	AR	no
OTUD7A	AR	no
OTULIN	AR	yes
OXCT1	AR	yes
OXR1	AR	no
P2RY12	AR	yes
P3H1	AR	no
P3H2	AR	no
P4HTM	AR	yes
PABPC1L	AR	no
PABPN1	AR	no
PADI3	AR	no
PADI6	AR	no
PAH	AR	yes
PAICS	AR	no
PAK3	XL	no
PALB2	AR	yes
PAM16	AR	no
PANK2	AR	no
PAPPA2	AR	yes
PAPSS2	AR	no
PARK7	AR	no
PARN	AR	yes
PARS2	AR	no
PATL2	AR	no
PAX1	AR	yes
PAX3	AR	yes
PAX7	AR	no
PC	AR	yes
PCARE	AR	no
PCBD1	AR	yes
PCCA	AR	yes
PCCB	AR	yes
PCDH12	AR	no
PCDH15	AR	yes
PCDH19	XL	no
PCDHGC4	AR	no
PCIF1	AR	yes
PCK1	AR	yes
PCLO	AR	no
PCNA	AR	yes
PCNT	AR	no
PCYT1A	AR	yes
PCYT2	AR	no
PDCD1	AR	yes
PDCD6IP	AR	no
PDE10A	AR	yes
PDE2A	AR	yes
PDE6A	AR	no
PDE6B	AR	no
PDE6C	AR	no
PDE6D	AR	no
PDE6G	AR	no
PDE6H	AR	no
PDHA1	XL	yes
PDHA2	AR	no
PDHB	AR	no
PDHX	AR	yes
PDK3	XL	no
PDP1	AR	no
PDSS1	AR	yes
PDSS2	AR	yes
PDX1	AR	yes
PDXK	AR	no
PDZD7	AR	yes
PDZD8	AR	no
PEPD	AR	yes
PERCC1	AR	yes
PERP	AR	no
PET100	AR	no
PET117	AR	no
PEX1	AR	yes
PEX10	AR	no
PEX11B	AR	no
PEX12	AR	no
PEX13	AR	no
PEX14	AR	no
PEX16	AR	no
PEX19	AR	no
PEX2	AR	no
PEX26	AR	no
PEX3	AR	no
PEX5	AR	no
PEX6	AR	yes
PEX7	AR	yes
PFKM	AR	yes
PGAM2	AR	yes
PGAP1	AR	no
PGAP2	AR	no
PGAP3	AR	no
PGK1	XL	yes
PGM1	AR	yes
PGM2L1	AR	no
PGM3	AR	yes
PHC1	AR	no
PHEX	XL	yes
PHF6	XL	no
PHF8	XL	no
PHGDH	AR	yes
PHKA1	XL	yes
PHKA2	XL	yes
PHKB	AR	yes
PHKG2	AR	yes
PHLDB1	AR	no
PHOX2A	AR	no
PHYH	AR	yes
PHYKPL	AR	no
PI4K2A	AR	no
PI4KA	AR	no
PIBF1	AR	no
PIEZO2	AR	no
PIGA	XL	yes
PIGB	AR	no
PIGC	AR	no
PIGF	AR	no
PIGG	AR	yes
PIGH	AR	no
PIGK	AR	no
PIGL	AR	yes
PIGM	AR	yes
PIGN	AR	yes
PIGO	AR	yes
PIGP	AR	no
PIGQ	AR	no
PIGS	AR	yes
PIGT	AR	no
PIGU	AR	no
PIGV	AR	no
PIGW	AR	no
PIGY	AR	no
PIK3C2A	AR	yes
PIK3CD	AR	yes
PIK3CG	AR	yes
PIK3R1	AR	yes
PIK3R5	AR	no
PINK1	AR	no
PIP5K1C	AR	no
PISD	AR	no
PITRM1	AR	no
PJVK	AR	yes
PKD1L1	AR	yes
PKDCC	AR	no
PKHD1	AR	yes
PKHD1L1	AR	yes
PKLR	AR	yes
PKP1	AR	no
PLA2G4A	AR	yes
PLA2G5	AR	no
PLA2G6	AR	no
PLA2G7	AR	no
PLAA	AR	no
PLAAT3	AR	yes
PLCB1	AR	yes
PLCB3	AR	yes
PLCD1	AR	no
PLCE1	AR	no
PLCH1	AR	no
PLCZ1	AR	no
PLD1	AR	yes
PLEC	AR	no
PLEKHG2	AR	no
PLEKHG5	AR	no
PLEKHM1	AR	no
PLG	AR	yes
PLK4	AR	no
PLN	AR	yes
PLOD1	AR	yes
PLOD2	AR	no
PLOD3	AR	yes
PLP1	XL	no
PLPBP	AR	yes
PLS3	XL	yes
PLVAP	AR	yes
PLXNA1	AR	no
PLXND1	AR	yes
PMFBP1	AR	no
PMM2	AR	yes
PMP22	AR	no
PMPCA	AR	no
PMPCB	AR	no
PMS2	AR	yes
PNKP	AR	no
PNLDC1	AR	no
PNLIP	AR	yes
PNP	AR	yes
PNPLA1	AR	no
PNPLA2	AR	no
PNPLA6	AR	yes
PNPLA8	AR	no
PNPO	AR	yes
PNPT1	AR	yes
POC1A	AR	no
POC1B	AR	no
POF1B	XL	yes
POGLUT1	AR	no
POLA1	XL	yes
POLD3	AR	yes
POLE	AR	yes
POLG	AR	no
POLG2	AR	no
POLH	AR	yes
POLR1A	AR	no
POLR1C	AR	yes
POLR1D	AR	yes
POLR3A	AR	no
POLR3B	AR	no
POLR3GL	AR	yes
POLR3K	AR	no
POLRMT	AR	yes
POMC	AR	yes
POMGNT1	AR	no
POMGNT2	AR	no
POMK	AR	no
POMT1	AR	yes
POMT2	AR	yes
PON1	AR	yes
POP1	AR	no
POPDC3	AR	no
POR	AR	yes
PORCN	XL	no
POT1	AR	yes
POU1F1	AR	yes
POU3F4	XL	yes
PPA2	AR	yes
PPARG	AR	no
PPCS	AR	yes
PPFIBP1	AR	no
PPIB	AR	no
PPIP5K2	AR	yes
PPM1K	AR	yes
PPOX	AR	yes
PPP1R13L	AR	yes
PPP1R15B	AR	yes
PPP1R21	AR	no
PPP2R3C	AR	no
PPT1	AR	no
PQBP1	XL	yes
PRCD	AR	no
PRDM12	AR	no
PRDM13	AR	yes
PRDM5	AR	yes
PRDM8	AR	no
PRDX1	AR	yes
PRDX3	AR	no
PREPL	AR	yes
PRF1	AR	yes
PRG4	AR	yes
PRICKLE1	AR	no
PRIM1	AR	yes
PRKACG	AR	yes
PRKCD	AR	yes
PRKCG	AR	no
PRKDC	AR	yes
PRKG2	AR	no
PRKN	AR	yes
PRKRA	AR	no
PRMT7	AR	no
PRNP	AR	no
PROC	AR	yes
PRODH	AR	no
PROK2	AR	yes
PROKR2	AR	yes
PROM1	AR	no
PROP1	AR	yes
PRORP	AR	yes
PROS1	AR	yes
PRPS1	XL	yes
PRRX1	AR	no
PRSS12	AR	no
PRSS56	AR	no
PRUNE1	AR	no
PRX	AR	no
PSAT1	AR	yes
PSKH1	AR	yes
PSMB1	AR	no
PSMB10	AR	yes
PSMB4	AR	yes
PSMB8	AR	yes
PSMC1	AR	no
PSMC3	AR	no
PSMC3IP	AR	yes
PSMG2	AR	yes
PSPH	AR	yes
PTCD3	AR	no
PTCHD1	XL	no
PTCRA	AR	yes
PTF1A	AR	yes
PTH	AR	yes
PTH1R	AR	no
PTPA	AR	yes
PTPN14	AR	no
PTPN23	AR	no
PTPRC	AR	yes
PTPRF	AR	no
PTPRJ	AR	yes
PTPRO	AR	no
PTPRQ	AR	yes
PTRH2	AR	yes
PTRHD1	AR	yes
PTS	AR	yes
PUS1	AR	yes
PUS3	AR	no
PUS7	AR	no
PXDN	AR	yes
PYCR1	AR	no
PYCR2	AR	no
PYGL	AR	yes
PYGM	AR	yes
PYROXD1	AR	yes
QARS1	AR	no
QDPR	AR	yes
QRICH2	AR	no
QRSL1	AR	no
RAB18	AR	no
RAB23	AR	no
RAB27A	AR	yes
RAB28	AR	no
RAB33B	AR	no
RAB34	AR	yes
RAB39B	XL	yes
RAB3GAP1	AR	yes
RAB3GAP2	AR	yes
RAB5IF	AR	no
RAC2	AR	yes
RACGAP1	AR	yes
RAD21	AR	yes
RAD50	AR	yes
RAD51C	AR	yes
RAG1	AR	yes
RAG2	AR	yes
RALGAPA1	AR	yes
RAP1GDS1	AR	no
RAPSN	AR	yes
RARB	AR	no
RARS2	AR	no
RASGRP1	AR	yes
RASGRP2	AR	yes
RAX	AR	yes
RAX2	AR	no
RBBP7	XL	no
RBBP8	AR	no
RBCK1	AR	yes
RBL2	AR	no
RBM10	XL	yes
RBM28	AR	yes
RBM8A	AR	yes
RBMX	XL	no
RBP3	AR	no
RBP4	AR	no
RBSN	AR	yes
RC3H1	AR	yes
RCBTB1	AR	no
RD3	AR	no
RDH11	AR	no
RDH12	AR	no
RDH5	AR	no
RDX	AR	yes
REC114	AR	no
RECQL4	AR	yes
REEP1	AR	no
REEP2	AR	no
REEP6	AR	no
REL	AR	yes
RELB	AR	yes
RELN	AR	no
RELT	AR	no
REPS1	AR	no
RET	AR	yes
RETREG1	AR	no
RFC1	AR	no
RFC4	AR	yes
RFT1	AR	yes
RFWD3	AR	yes
RFX5	AR	yes
RFX6	AR	yes
RFXANK	AR	yes
RFXAP	AR	yes
RGR	AR	no
RGS9	AR	no
RGS9BP	AR	no
RHAG	AR	yes
RHO	AR	no
RHOBTB2	AR	no
RHOH	AR	yes
RIC1	AR	no
RIMS2	AR	yes
RIN2	AR	no
RINT1	AR	no
RIPK1	AR	yes
RIPK4	AR	no
RIPOR2	AR	yes
RIPPLY2	AR	no
RLBP1	AR	no
RLIM	XL	no
RMND1	AR	no
RMRP	AR	yes
RNASEH1	AR	no
RNASEH2A	AR	no
RNASEH2B	AR	no
RNASEH2C	AR	no
RNASET2	AR	yes
RNF113A	XL	yes
RNF168	AR	yes
RNF170	AR	no
RNF212	AR	no
